% Generated by make_fake_data.py via real TMM forward calculation
% nm	Psi	Delta	Err(Psi)	Err(Delta)
% AOI = 65.000
1340.000	18.5123	-10.5809	0.020	0.100
1350.000	18.5004	-16.4846	0.020	0.100
1360.000	18.4888	-25.7873	0.020	0.100
1370.000	18.4775	-35.1519	0.020	0.100
1380.000	18.4664	10.6971	0.020	0.100
1390.000	18.4556	14.7355	0.020	0.100
1400.000	18.4450	-30.7800	0.020	0.100
1410.000	18.4347	-14.0784	0.020	0.100
1420.000	18.4246	-30.9718	0.020	0.100
1430.000	18.4147	-22.2926	0.020	0.100
1440.000	18.4050	-25.3614	0.020	0.100
1450.000	18.3955	-22.5916	0.020	0.100
1460.000	18.3863	-24.3864	0.020	0.100
1470.000	18.3772	-25.4716	0.020	0.100
1480.000	18.3683	8.6770	0.020	0.100
1490.000	18.3596	-35.0938	0.020	0.100
1500.000	18.3511	29.8272	0.020	0.100
1510.000	18.3427	34.0341	0.020	0.100
1520.000	18.3345	-22.4019	0.020	0.100
1530.000	18.3265	-30.8514	0.020	0.100
1540.000	18.3187	6.2963	0.020	0.100
1550.000	18.3110	-24.7936	0.020	0.100
1560.000	18.3034	-9.4633	0.020	0.100
1570.000	18.2960	25.5117	0.020	0.100
1580.000	18.2888	34.9463	0.020	0.100
1590.000	18.2817	-34.6983	0.020	0.100
1600.000	18.2747	29.9477	0.020	0.100
1610.000	18.2679	30.1539	0.020	0.100
1620.000	18.2611	-34.5063	0.020	0.100
1630.000	18.2546	33.8212	0.020	0.100
1640.000	18.2481	35.0333	0.020	0.100
1650.000	18.2418	-31.3267	0.020	0.100
1660.000	18.2356	31.6566	0.020	0.100
1670.000	18.2294	29.9481	0.020	0.100
1680.000	18.2234	-29.0827	0.020	0.100
1690.000	18.2176	34.7748	0.020	0.100
1700.000	18.2118	33.1906	0.020	0.100
1710.000	18.2061	-16.0246	0.020	0.100
1720.000	18.2005	5.8078	0.020	0.100
1730.000	18.1950	-18.0727	0.020	0.100
1740.000	18.1897	-8.7024	0.020	0.100
1750.000	18.1844	31.4510	0.020	0.100
1760.000	18.1792	-11.4617	0.020	0.100
1770.000	18.1741	-24.4073	0.020	0.100
1780.000	18.1691	-7.4066	0.020	0.100
1790.000	18.1641	34.7643	0.020	0.100
1800.000	18.1593	-0.9234	0.020	0.100
1810.000	18.1545	-13.0746	0.020	0.100
1820.000	18.1498	3.7813	0.020	0.100
1830.000	18.1452	31.9567	0.020	0.100
1840.000	18.1407	2.5413	0.020	0.100
1850.000	18.1362	-16.5822	0.020	0.100
1860.000	18.1319	-8.5947	0.020	0.100
1870.000	18.1276	25.2694	0.020	0.100
1880.000	18.1233	-31.0095	0.020	0.100
1890.000	18.1191	24.4010	0.020	0.100
1900.000	18.1150	34.6746	0.020	0.100
1910.000	18.1110	-7.7932	0.020	0.100
1920.000	18.1070	-16.9547	0.020	0.100
1930.000	18.1031	32.8583	0.020	0.100
1940.000	18.0993	17.0394	0.020	0.100
1950.000	18.0955	9.4353	0.020	0.100
1960.000	18.0917	23.9429	0.020	0.100
1970.000	18.0881	-9.7974	0.020	0.100
1980.000	18.0844	2.3363	0.020	0.100
1990.000	18.0809	-32.7214	0.020	0.100
2000.000	18.0774	-26.2015	0.020	0.100
% AOI = 70.000
300.000	29.1436	31.4312	0.020	0.100
310.000	27.3529	31.0727	0.020	0.100
320.000	26.4188	30.3872	0.020	0.100
330.000	25.8306	29.2677	0.020	0.100
340.000	25.5279	27.9507	0.020	0.100
350.000	25.6683	26.2169	0.020	0.100
360.000	26.4633	22.2413	0.020	0.100
370.000	26.1660	14.0051	0.020	0.100
380.000	23.8128	7.5397	0.020	0.100
390.000	21.6295	5.2783	0.020	0.100
400.000	20.0565	4.1636	0.020	0.100
410.000	18.8277	3.5384	0.020	0.100
420.000	17.8433	3.1002	0.020	0.100
430.000	17.0160	2.7235	0.020	0.100
440.000	16.2962	2.3998	0.020	0.100
450.000	15.6604	2.1368	0.020	0.100
460.000	15.0954	1.9326	0.020	0.100
470.000	14.5919	1.7774	0.020	0.100
480.000	14.1419	1.6583	0.020	0.100
490.000	13.7382	1.5629	0.020	0.100
500.000	13.3742	1.4809	0.020	0.100
510.000	13.0442	1.4052	0.020	0.100
520.000	12.7430	1.3319	0.020	0.100
530.000	12.4666	1.2590	0.020	0.100
540.000	12.2114	1.1862	0.020	0.100
550.000	11.9748	1.1140	0.020	0.100
560.000	11.7546	1.0434	0.020	0.100
570.000	11.5490	0.9751	0.020	0.100
580.000	11.3565	0.9100	0.020	0.100
590.000	11.1760	0.8485	0.020	0.100
600.000	11.0064	0.7911	0.020	0.100
610.000	10.8468	0.7378	0.020	0.100
620.000	10.6963	0.6888	0.020	0.100
630.000	10.5544	0.6439	0.020	0.100
640.000	10.4204	0.6030	0.020	0.100
650.000	10.2937	0.5659	0.020	0.100
660.000	10.1738	0.5325	0.020	0.100
670.000	10.0602	0.5023	0.020	0.100
680.000	9.9525	0.4754	0.020	0.100
690.000	9.8504	0.4515	0.020	0.100
700.000	9.7534	0.4303	0.020	0.100
710.000	9.6613	0.4116	0.020	0.100
720.000	9.5738	0.3952	0.020	0.100
730.000	9.4905	0.3808	0.020	0.100
740.000	9.4113	0.3683	0.020	0.100
750.000	9.3360	0.3572	0.020	0.100
760.000	9.2643	0.3473	0.020	0.100
770.000	9.1960	0.3381	0.020	0.100
780.000	9.1309	0.3293	0.020	0.100
790.000	9.0690	0.3203	0.020	0.100
800.000	9.0098	0.3108	0.020	0.100
810.000	8.9534	0.3001	0.020	0.100
820.000	8.8993	0.2880	0.020	0.100
830.000	8.8475	0.2742	0.020	0.100
840.000	8.7978	0.2587	0.020	0.100
850.000	8.7498	0.2417	0.020	0.100
860.000	8.7036	0.2234	0.020	0.100
870.000	8.6588	0.2044	0.020	0.100
880.000	8.6154	0.1850	0.020	0.100
890.000	8.5733	0.1659	0.020	0.100
900.000	8.5325	0.1474	0.020	0.100
910.000	8.4929	0.1298	0.020	0.100
920.000	8.4546	0.1134	0.020	0.100
930.000	8.4173	0.0983	0.020	0.100
940.000	8.3812	0.0845	0.020	0.100
950.000	8.3463	0.0720	0.020	0.100
960.000	8.3124	0.0610	0.020	0.100
970.000	8.2796	0.0510	0.020	0.100
980.000	8.2479	0.0416	0.020	0.100
990.000	8.2172	0.0239	0.020	0.100
1000.000	8.1874	-0.0162	0.020	0.100
1010.000	8.1587	0.2285	0.020	0.100
1020.000	8.1321	0.4253	0.020	0.100
1030.000	8.1119	1.7206	0.020	0.100
1040.000	8.1123	-3.3070	0.020	0.100
1050.000	8.1650	-4.4755	0.020	0.100
1060.000	8.2979	6.2276	0.020	0.100
1070.000	8.5258	9.9734	0.020	0.100
1080.000	8.7869	-15.5559	0.020	0.100
1090.000	9.0448	-12.4875	0.020	0.100
1100.000	9.2394	-24.1062	0.020	0.100
1110.000	9.4283	-6.0987	0.020	0.100
1120.000	9.5730	-1.2409	0.020	0.100
1130.000	9.7154	28.6952	0.020	0.100
1140.000	9.8061	17.9018	0.020	0.100
1150.000	9.8560	19.2898	0.020	0.100
1160.000	9.9088	30.2743	0.020	0.100
1170.000	9.9306	40.1889	0.020	0.100
1180.000	9.9315	-18.0350	0.020	0.100
1190.000	9.9317	-40.1655	0.020	0.100
1200.000	9.9110	-30.4069	0.020	0.100
1210.000	9.8908	-26.3592	0.020	0.100
1220.000	9.8712	-33.7658	0.020	0.100
1230.000	9.8521	-33.8634	0.020	0.100
1240.000	9.8335	31.5211	0.020	0.100
1250.000	9.8154	-33.7252	0.020	0.100
1260.000	9.7978	8.2924	0.020	0.100
1270.000	9.7805	22.5668	0.020	0.100
1280.000	9.7637	4.8103	0.020	0.100
1290.000	9.7474	-40.8520	0.020	0.100
1300.000	9.7314	0.0655	0.020	0.100
1310.000	9.7158	7.6817	0.020	0.100
1320.000	9.7006	-27.0695	0.020	0.100
1330.000	9.6857	29.3186	0.020	0.100
1340.000	9.6712	37.3680	0.020	0.100
1350.000	9.6571	1.4591	0.020	0.100
1360.000	9.6432	40.9358	0.020	0.100
1370.000	9.6297	37.9799	0.020	0.100
1380.000	9.6165	-21.2429	0.020	0.100
1390.000	9.6036	-4.2069	0.020	0.100
1400.000	9.5910	-40.4244	0.020	0.100
1410.000	9.5786	-12.9788	0.020	0.100
1420.000	9.5665	-38.3748	0.020	0.100
1430.000	9.5547	1.1083	0.020	0.100
1440.000	9.5432	-21.9558	0.020	0.100
1450.000	9.5319	23.7146	0.020	0.100
1460.000	9.5208	0.4078	0.020	0.100
1470.000	9.5100	38.7575	0.020	0.100
1480.000	9.4994	13.0069	0.020	0.100
1490.000	9.4890	40.3207	0.020	0.100
1500.000	9.4788	4.3714	0.020	0.100
1510.000	9.4689	22.7520	0.020	0.100
1520.000	9.4591	-34.7940	0.020	0.100
1530.000	9.4496	-35.6795	0.020	0.100
1540.000	9.4402	17.3350	0.020	0.100
1550.000	9.4311	-9.0561	0.020	0.100
1560.000	9.4221	19.4691	0.020	0.100
1570.000	9.4133	-34.7005	0.020	0.100
1580.000	9.4046	-37.0458	0.020	0.100
1590.000	9.3962	7.8028	0.020	0.100
1600.000	9.3878	-30.9036	0.020	0.100
1610.000	9.3797	-22.0484	0.020	0.100
1620.000	9.3717	33.8383	0.020	0.100
1630.000	9.3639	3.3958	0.020	0.100
1640.000	9.3562	17.4900	0.020	0.100
1650.000	9.3486	-31.9818	0.020	0.100
1660.000	9.3412	39.0885	0.020	0.100
1670.000	9.3339	40.3737	0.020	0.100
1680.000	9.3268	-29.7902	0.020	0.100
1690.000	9.3198	19.5221	0.020	0.100
1700.000	9.3129	22.9675	0.020	0.100
1710.000	9.3062	-32.8176	0.020	0.100
1720.000	9.2995	39.7713	0.020	0.100
1730.000	9.2930	25.4446	0.020	0.100
1740.000	9.2866	39.7002	0.020	0.100
1750.000	9.2803	-34.0472	0.020	0.100
1760.000	9.2741	36.9950	0.020	0.100
1770.000	9.2681	41.0242	0.020	0.100
1780.000	9.2621	-34.4300	0.020	0.100
1790.000	9.2562	3.6381	0.020	0.100
1800.000	9.2505	-34.6265	0.020	0.100
1810.000	9.2448	-38.7707	0.020	0.100
1820.000	9.2392	-16.2629	0.020	0.100
1830.000	9.2338	38.8958	0.020	0.100
1840.000	9.2284	-2.8809	0.020	0.100
1850.000	9.2231	-17.6390	0.020	0.100
1860.000	9.2179	-1.1251	0.020	0.100
1870.000	9.2127	39.9906	0.020	0.100
1880.000	9.2077	-15.3234	0.020	0.100
1890.000	9.2027	-40.3217	0.020	0.100
1900.000	9.1979	-40.9075	0.020	0.100
1910.000	9.1930	-22.9840	0.020	0.100
1920.000	9.1883	29.9055	0.020	0.100
1930.000	9.1837	-24.9770	0.020	0.100
1940.000	9.1791	-40.0447	0.020	0.100
1950.000	9.1746	-38.3114	0.020	0.100
1960.000	9.1701	-31.5575	0.020	0.100
1970.000	9.1658	17.0668	0.020	0.100
1980.000	9.1615	-39.8654	0.020	0.100
1990.000	9.1573	39.8288	0.020	0.100
2000.000	9.1531	38.1003	0.020	0.100
% AOI = 75.000
300.000	24.7612	46.1424	0.020	0.100
310.000	22.5600	46.6377	0.020	0.100
320.000	21.3784	46.2817	0.020	0.100
330.000	20.5738	45.1084	0.020	0.100
340.000	20.0927	43.4411	0.020	0.100
350.000	20.1082	40.8329	0.020	0.100
360.000	20.7597	34.5055	0.020	0.100
370.000	19.8809	22.1564	0.020	0.100
380.000	16.6825	12.6307	0.020	0.100
390.000	13.9426	9.4292	0.020	0.100
400.000	12.0233	7.8921	0.020	0.100
410.000	10.5524	7.1007	0.020	0.100
420.000	9.3898	6.5724	0.020	0.100
430.000	8.4225	6.0966	0.020	0.100
440.000	7.5885	5.6765	0.020	0.100
450.000	6.8580	5.3466	0.020	0.100
460.000	6.2138	5.1208	0.020	0.100
470.000	5.6436	4.9921	0.020	0.100
480.000	5.1371	4.9413	0.020	0.100
490.000	4.6852	4.9444	0.020	0.100
500.000	4.2796	4.9788	0.020	0.100
510.000	3.9133	5.0262	0.020	0.100
520.000	3.5803	5.0749	0.020	0.100
530.000	3.2755	5.1186	0.020	0.100
540.000	2.9951	5.1559	0.020	0.100
550.000	2.7357	5.1891	0.020	0.100
560.000	2.4949	5.2222	0.020	0.100
570.000	2.2706	5.2603	0.020	0.100
580.000	2.0611	5.3099	0.020	0.100
590.000	1.8651	5.3774	0.020	0.100
600.000	1.6813	5.4702	0.020	0.100
610.000	1.5087	5.5966	0.020	0.100
620.000	1.3463	5.7673	0.020	0.100
630.000	1.1935	5.9952	0.020	0.100
640.000	1.0495	6.2985	0.020	0.100
650.000	0.9136	6.7029	0.020	0.100
660.000	0.7853	7.2472	0.020	0.100
670.000	0.6641	7.9927	0.020	0.100
680.000	0.5495	9.0440	0.020	0.100
690.000	0.4413	10.5933	0.020	0.100
700.000	0.3393	13.0308	0.020	0.100
710.000	0.2436	17.3007	0.020	0.100
720.000	0.1556	26.2759	0.020	0.100
730.000	0.0833	52.1481	0.020	0.100
740.000	0.0711	117.5774	0.020	0.100
750.000	0.1280	151.7523	0.020	0.100
760.000	0.1976	162.8003	0.020	0.100
770.000	0.2670	167.7991	0.020	0.100
780.000	0.3342	170.6078	0.020	0.100
790.000	0.3988	172.4093	0.020	0.100
800.000	0.4605	173.6732	0.020	0.100
810.000	0.5196	174.6249	0.020	0.100
820.000	0.5761	175.3796	0.020	0.100
830.000	0.6303	176.0054	0.020	0.100
840.000	0.6824	176.5403	0.020	0.100
850.000	0.7327	177.0079	0.020	0.100
860.000	0.7811	177.4209	0.020	0.100
870.000	0.8280	177.7866	0.020	0.100
880.000	0.8735	178.1103	0.020	0.100
890.000	0.9175	178.3958	0.020	0.100
900.000	0.9603	178.6450	0.020	0.100
910.000	1.0018	178.8617	0.020	0.100
920.000	1.0420	179.0488	0.020	0.100
930.000	1.0810	179.2089	0.020	0.100
940.000	1.1187	179.3460	0.020	0.100
950.000	1.1553	179.4623	0.020	0.100
960.000	1.1908	179.5605	0.020	0.100
970.000	1.2251	179.6433	0.020	0.100
980.000	1.2583	179.7146	0.020	0.100
990.000	1.2905	179.7856	0.020	0.100
1000.000	1.3216	179.8649	0.020	0.100
1010.000	1.3517	179.5826	0.020	0.100
1020.000	1.3811	-179.4195	0.020	0.100
1030.000	1.4106	-178.2238	0.020	0.100
1040.000	1.4431	176.1727	0.020	0.100
1050.000	1.4850	179.5019	0.020	0.100
1060.000	1.5430	168.8564	0.020	0.100
1070.000	1.6212	163.9814	0.020	0.100
1080.000	1.7082	-158.4659	0.020	0.100
1090.000	1.7965	-165.5272	0.020	0.100
1100.000	1.8724	-150.5014	0.020	0.100
1110.000	1.9482	151.0663	0.020	0.100
1120.000	2.0146	-148.1168	0.020	0.100
1130.000	2.0812	-146.7472	0.020	0.100
1140.000	2.1353	-145.4955	0.020	0.100
1150.000	2.1788	-136.9876	0.020	0.100
1160.000	2.2227	142.8588	0.020	0.100
1170.000	2.2580	150.5655	0.020	0.100
1180.000	2.2871	-172.0535	0.020	0.100
1190.000	2.3152	-138.7108	0.020	0.100
1200.000	2.3373	-170.8851	0.020	0.100
1210.000	2.3587	132.6238	0.020	0.100
1220.000	2.3796	133.5870	0.020	0.100
1230.000	2.3998	138.8252	0.020	0.100
1240.000	2.4196	-135.4811	0.020	0.100
1250.000	2.4389	167.9752	0.020	0.100
1260.000	2.4576	-135.5154	0.020	0.100
1270.000	2.4759	163.8681	0.020	0.100
1280.000	2.4937	-155.0471	0.020	0.100
1290.000	2.5111	-153.7889	0.020	0.100
1300.000	2.5281	132.9406	0.020	0.100
1310.000	2.5446	142.7494	0.020	0.100
1320.000	2.5607	137.4423	0.020	0.100
1330.000	2.5765	-169.9718	0.020	0.100
1340.000	2.5919	-147.6497	0.020	0.100
1350.000	2.6069	-177.8040	0.020	0.100
1360.000	2.6215	-137.1433	0.020	0.100
1370.000	2.6359	-146.1938	0.020	0.100
1380.000	2.6499	-168.4867	0.020	0.100
1390.000	2.6635	-140.8240	0.020	0.100
1400.000	2.6769	-174.0286	0.020	0.100
1410.000	2.6900	-133.5166	0.020	0.100
1420.000	2.7027	-148.5959	0.020	0.100
1430.000	2.7152	133.4915	0.020	0.100
1440.000	2.7274	-177.8338	0.020	0.100
1450.000	2.7394	164.8513	0.020	0.100
1460.000	2.7511	149.8887	0.020	0.100
1470.000	2.7625	-154.5321	0.020	0.100
1480.000	2.7737	-177.1526	0.020	0.100
1490.000	2.7847	-135.5499	0.020	0.100
1500.000	2.7954	-167.1453	0.020	0.100
1510.000	2.8059	-139.8432	0.020	0.100
1520.000	2.8163	166.6388	0.020	0.100
1530.000	2.8263	174.5948	0.020	0.100
1540.000	2.8362	-136.5451	0.020	0.100
1550.000	2.8459	-138.3895	0.020	0.100
1560.000	2.8554	139.0811	0.020	0.100
1570.000	2.8647	-148.6736	0.020	0.100
1580.000	2.8738	-144.2470	0.020	0.100
1590.000	2.8827	133.9167	0.020	0.100
1600.000	2.8915	-135.2904	0.020	0.100
1610.000	2.9001	144.8268	0.020	0.100
1620.000	2.9085	-176.8239	0.020	0.100
1630.000	2.9168	156.3129	0.020	0.100
1640.000	2.9249	179.6715	0.020	0.100
1650.000	2.9329	-164.5573	0.020	0.100
1660.000	2.9407	-138.7000	0.020	0.100
1670.000	2.9483	-135.5098	0.020	0.100
1680.000	2.9558	158.7809	0.020	0.100
1690.000	2.9632	133.3472	0.020	0.100
1700.000	2.9705	133.6987	0.020	0.100
1710.000	2.9776	177.4824	0.020	0.100
1720.000	2.9846	133.0911	0.020	0.100
1730.000	2.9914	163.1164	0.020	0.100
1740.000	2.9982	138.6091	0.020	0.100
1750.000	3.0048	-155.2351	0.020	0.100
1760.000	3.0113	163.9898	0.020	0.100
1770.000	3.0177	162.6638	0.020	0.100
1780.000	3.0240	-159.7523	0.020	0.100
1790.000	3.0302	133.3951	0.020	0.100
1800.000	3.0362	-133.1443	0.020	0.100
1810.000	3.0422	-133.1058	0.020	0.100
1820.000	3.0481	133.1130	0.020	0.100
1830.000	3.0538	-164.1855	0.020	0.100
1840.000	3.0595	152.3506	0.020	0.100
1850.000	3.0651	143.7694	0.020	0.100
1860.000	3.0705	166.6268	0.020	0.100
1870.000	3.0759	-138.8027	0.020	0.100
1880.000	3.0812	163.8031	0.020	0.100
1890.000	3.0864	138.7120	0.020	0.100
1900.000	3.0916	141.2400	0.020	0.100
1910.000	3.0966	173.5290	0.020	0.100
1920.000	3.1016	-133.1207	0.020	0.100
1930.000	3.1065	-176.7688	0.020	0.100
1940.000	3.1113	157.5482	0.020	0.100
1950.000	3.1160	160.7722	0.020	0.100
1960.000	3.1207	-167.4051	0.020	0.100
1970.000	3.1253	-164.1013	0.020	0.100
1980.000	3.1298	-169.8177	0.020	0.100
1990.000	3.1343	154.9183	0.020	0.100
2000.000	3.1386	147.1801	0.020	0.100
