nm	Psi_65	Del_65	Psi_70	Del_70	Psi_75	Del_75
1130.0000	18.3124	22.2440	9.7154	28.6952	2.0812	-146.7472
1140.0000	18.4649	-2.3598	9.8061	17.9018	2.1353	-145.4955
1150.0000	18.5555	-15.8838	9.8560	19.2898	2.1788	-136.9876
1160.0000	18.6505	-20.4390	9.9088	30.2743	2.2227	142.8588
1170.0000	18.6986	-19.1153	9.9306	40.1889	2.2580	150.5655
1180.0000	18.7149	-15.3949	9.9315	-18.0350	2.2871	-172.0535
1190.0000	18.7300	-12.8970	9.9317	-40.1655	2.3152	-138.7108
1200.0000	18.7127	-14.6701	9.9110	-30.4069	2.3373	-170.8851
1210.0000	18.6959	-24.1425	9.8908	-26.3592	2.3587	132.6238
1220.0000	18.6795	-34.6906	9.8712	-33.7658	2.3796	133.5870
1230.0000	18.6636	34.3705	9.8521	-33.8634	2.3998	138.8252
1240.0000	18.6480	-13.6220	9.8335	31.5211	2.4196	-135.4811
1250.0000	18.6329	31.5871	9.8154	-33.7252	2.4389	167.9752
1260.0000	18.6181	4.9097	9.7978	8.2924	2.4576	-135.5154
1270.0000	18.6037	5.6520	9.7805	22.5668	2.4759	163.8681
1280.0000	18.5897	29.0268	9.7637	4.8103	2.4937	-155.0471
1290.0000	18.5760	-26.7228	9.7474	-40.8520	2.5111	-153.7889
1300.0000	18.5626	1.6751	9.7314	0.0655	2.5281	132.9406
1310.0000	18.5496	-3.8934	9.7158	7.6817	2.5446	142.7494
1320.0000	18.5368	-34.3964	9.7006	-27.0695	2.5607	137.4423
1330.0000	18.5244	-8.0146	9.6857	29.3186	2.5765	-169.9718
1340.0000	18.5123	-10.5809	9.6712	37.3680	2.5919	-147.6497
1350.0000	18.5004	-16.4846	9.6571	1.4591	2.6069	-177.8040
1360.0000	18.4888	-25.7873	9.6432	40.9358	2.6215	-137.1433
1370.0000	18.4775	-35.1519	9.6297	37.9799	2.6359	-146.1938
1380.0000	18.4664	10.6971	9.6165	-21.2429	2.6499	-168.4867
1390.0000	18.4556	14.7355	9.6036	-4.2069	2.6635	-140.8240
1400.0000	18.4450	-30.7800	9.5910	-40.4244	2.6769	-174.0286
1410.0000	18.4347	-14.0784	9.5786	-12.9788	2.6900	-133.5166
1420.0000	18.4246	-30.9718	9.5665	-38.3748	2.7027	-148.5959
1430.0000	18.4147	-22.2926	9.5547	1.1083	2.7152	133.4915
1440.0000	18.4050	-25.3614	9.5432	-21.9558	2.7274	-177.8338
1450.0000	18.3955	-22.5916	9.5319	23.7146	2.7394	164.8513
1460.0000	18.3863	-24.3864	9.5208	0.4078	2.7511	149.8887
1470.0000	18.3772	-25.4716	9.5100	38.7575	2.7625	-154.5321
1480.0000	18.3683	8.6770	9.4994	13.0069	2.7737	-177.1526
1490.0000	18.3596	-35.0938	9.4890	40.3207	2.7847	-135.5499
1500.0000	18.3511	29.8272	9.4788	4.3714	2.7954	-167.1453
1510.0000	18.3427	34.0341	9.4689	22.7520	2.8059	-139.8432
1520.0000	18.3345	-22.4019	9.4591	-34.7940	2.8163	166.6388
1530.0000	18.3265	-30.8514	9.4496	-35.6795	2.8263	174.5948
1540.0000	18.3187	6.2963	9.4402	17.3350	2.8362	-136.5451
1550.0000	18.3110	-24.7936	9.4311	-9.0561	2.8459	-138.3895
1560.0000	18.3034	-9.4633	9.4221	19.4691	2.8554	139.0811
1570.0000	18.2960	25.5117	9.4133	-34.7005	2.8647	-148.6736
1580.0000	18.2888	34.9463	9.4046	-37.0458	2.8738	-144.2470
1590.0000	18.2817	-34.6983	9.3962	7.8028	2.8827	133.9167
1600.0000	18.2747	29.9477	9.3878	-30.9036	2.8915	-135.2904
1610.0000	18.2679	30.1539	9.3797	-22.0484	2.9001	144.8268
1620.0000	18.2611	-34.5063	9.3717	33.8383	2.9085	-176.8239
1630.0000	18.2546	33.8212	9.3639	3.3958	2.9168	156.3129
1640.0000	18.2481	35.0333	9.3562	17.4900	2.9249	179.6715
1650.0000	18.2418	-31.3267	9.3486	-31.9818	2.9329	-164.5573
1660.0000	18.2356	31.6566	9.3412	39.0885	2.9407	-138.7000
1670.0000	18.2294	29.9481	9.3339	40.3737	2.9483	-135.5098
1680.0000	18.2234	-29.0827	9.3268	-29.7902	2.9558	158.7809
1690.0000	18.2176	34.7748	9.3198	19.5221	2.9632	133.3472
1700.0000	18.2118	33.1906	9.3129	22.9675	2.9705	133.6987
1710.0000	18.2061	-16.0246	9.3062	-32.8176	2.9776	177.4824
1720.0000	18.2005	5.8078	9.2995	39.7713	2.9846	133.0911
1730.0000	18.1950	-18.0727	9.2930	25.4446	2.9914	163.1164
1740.0000	18.1897	-8.7024	9.2866	39.7002	2.9982	138.6091
1750.0000	18.1844	31.4510	9.2803	-34.0472	3.0048	-155.2351
1760.0000	18.1792	-11.4617	9.2741	36.9950	3.0113	163.9898
1770.0000	18.1741	-24.4073	9.2681	41.0242	3.0177	162.6638
1780.0000	18.1691	-7.4066	9.2621	-34.4300	3.0240	-159.7523
1790.0000	18.1641	34.7643	9.2562	3.6381	3.0302	133.3951
1800.0000	18.1593	-0.9234	9.2505	-34.6265	3.0362	-133.1443
1810.0000	18.1545	-13.0746	9.2448	-38.7707	3.0422	-133.1058
1820.0000	18.1498	3.7813	9.2392	-16.2629	3.0481	133.1130
1830.0000	18.1452	31.9567	9.2338	38.8958	3.0538	-164.1855
1840.0000	18.1407	2.5413	9.2284	-2.8809	3.0595	152.3506
1850.0000	18.1362	-16.5822	9.2231	-17.6390	3.0651	143.7694
1860.0000	18.1319	-8.5947	9.2179	-1.1251	3.0705	166.6268
1870.0000	18.1276	25.2694	9.2127	39.9906	3.0759	-138.8027
1880.0000	18.1233	-31.0095	9.2077	-15.3234	3.0812	163.8031
1890.0000	18.1191	24.4010	9.2027	-40.3217	3.0864	138.7120
1900.0000	18.1150	34.6746	9.1979	-40.9075	3.0916	141.2400
1910.0000	18.1110	-7.7932	9.1930	-22.9840	3.0966	173.5290
1920.0000	18.1070	-16.9547	9.1883	29.9055	3.1016	-133.1207
1930.0000	18.1031	32.8583	9.1837	-24.9770	3.1065	-176.7688
1940.0000	18.0993	17.0394	9.1791	-40.0447	3.1113	157.5482
1950.0000	18.0955	9.4353	9.1746	-38.3114	3.1160	160.7722
1960.0000	18.0917	23.9429	9.1701	-31.5575	3.1207	-167.4051
1970.0000	18.0881	-9.7974	9.1658	17.0668	3.1253	-164.1013
1980.0000	18.0844	2.3363	9.1615	-39.8654	3.1298	-169.8177
1990.0000	18.0809	-32.7214	9.1573	39.8288	3.1343	154.9183
2000.0000	18.0774	-26.2015	9.1531	38.1003	3.1386	147.1801
