nm	Psi_65	Del_65	Psi_70	Del_70	Psi_75	Del_75
890.0000	30.1536	-79.7997	32.6340	-100.8548	36.0957	-121.3712
900.0000	30.9051	-80.6901	33.4980	-101.3335	36.9298	-121.5409
910.0000	31.6753	-81.4803	34.3768	-101.7385	37.7778	-121.6726
920.0000	32.4660	-82.1759	35.2738	-102.0749	38.6432	-121.7704
930.0000	33.2795	-82.7816	36.1924	-102.3474	39.5301	-121.8388
940.0000	34.1180	-83.3019	37.1358	-102.5607	40.4419	-121.8825
950.0000	34.9835	-83.7407	38.1074	-102.7189	41.3822	-121.9065
960.0000	35.8783	-84.1016	39.1103	-102.8264	42.3542	-121.9162
970.0000	36.8049	-84.3878	40.1479	-102.8867	43.3615	-121.9171
980.0000	37.7656	-84.6001	41.2235	-102.9014	44.4070	-121.9163
990.0000	38.7625	-84.7271	42.3400	-102.8617	45.4935	-121.9273
1000.0000	39.7980	-84.9311	43.5006	-102.8729	46.6238	-121.8874
1010.0000	40.8735	-84.4779	44.7072	-102.6639	47.7990	-121.7150
1020.0000	41.9845	-83.4301	45.9548	-104.1650	49.0144	-121.7342
1030.0000	43.0943	-84.4111	47.2005	-105.2261	50.2300	-121.8906
1040.0000	44.0628	-79.3056	48.2794	-94.6282	51.2948	-115.5988
1050.0000	44.5249	-71.5622	48.7587	-84.7082	51.8074	-107.3801
1060.0000	44.0807	-99.0130	48.1575	-126.3672	51.2998	-149.1644
1070.0000	42.5333	-81.1433	46.2349	-132.6629	49.4888	-67.8547
1080.0000	40.5661	-131.5222	43.8060	-29.1138	47.1038	-129.4518
1090.0000	38.5857	-62.1465	41.3638	173.4268	44.6288	-106.1876
1100.0000	37.1090	-50.3089	39.5321	136.4803	42.7240	-134.4484
1110.0000	35.6366	-71.2513	37.7154	-44.9637	40.8072	71.2987
1120.0000	34.4759	120.8185	36.2814	-174.8133	39.2723	-155.1903
1130.0000	33.2808	-72.5218	34.8155	-98.7161	37.6942	-124.2829
1140.0000	32.4458	-37.7737	33.7877	-75.9597	36.5755	-123.2470
1150.0000	31.9030	-7.8615	33.1150	-75.4236	35.8348	-146.9893
1160.0000	31.2860	7.5910	32.3589	-92.5903	35.0063	165.1373
1170.0000	30.9143	6.2918	31.8988	-129.2084	34.4959	69.2419
1180.0000	30.7272	-0.3538	31.6608	169.9448	34.2253	-51.2976
1190.0000	30.5355	-3.0505	31.4194	105.4579	33.9529	-126.1037
1200.0000	30.5656	4.2359	31.4416	62.0494	33.9638	-176.8305
1210.0000	30.5910	32.7823	31.4586	51.6131	33.9700	148.0212
1220.0000	30.6119	107.8844	31.4706	79.1595	33.9718	139.3654
1230.0000	30.6283	-88.3044	31.4777	153.0922	33.9695	163.7930
1240.0000	30.6405	14.1314	31.4803	-81.3671	33.9631	-131.3561
1250.0000	30.6487	-74.9920	31.4785	84.6533	33.9529	48.3471
1260.0000	30.6529	-172.7656	31.4726	-17.7882	33.9391	-129.6165
1270.0000	30.6535	-171.9837	31.4627	-50.2614	33.9219	174.6355
1280.0000	30.6504	-63.8055	31.4489	-1.8993	33.9013	-173.8645
1290.0000	30.6440	56.9844	31.4316	119.2546	33.8777	-58.1129
1300.0000	30.6343	0.6308	31.4108	16.5510	33.8510	152.5663
1310.0000	30.6214	13.8220	31.3867	2.0935	33.8216	121.3187
1320.0000	30.6056	111.0791	31.3596	78.6391	33.7895	161.1615
1330.0000	30.5870	26.2523	31.3294	-54.9210	33.7548	19.6067
1340.0000	30.5657	32.9623	31.2965	-87.3602	33.7177	-63.8450
1350.0000	30.5418	155.2740	31.2609	29.6900	33.6784	50.5568
1360.0000	30.5156	63.3962	31.2228	-112.4872	33.6368	-162.5265
1370.0000	30.4870	101.7764	31.1823	-86.3316	33.5933	-171.0763
1380.0000	30.4563	3.1114	31.1396	76.5801	33.5477	36.0364
1390.0000	30.4235	-3.5044	31.0947	50.9369	33.5004	-82.4455
1400.0000	30.3888	77.2431	31.0478	119.6556	33.4512	57.6383
1410.0000	30.3522	50.1781	30.9990	68.4225	33.4005	-128.7698
1420.0000	30.3140	124.3068	30.9484	112.0140	33.3482	-27.0960
1430.0000	30.2741	63.6150	30.8960	50.4295	33.2944	153.7986
1440.0000	30.2327	137.6548	30.8421	84.2518	33.2392	175.9535
1450.0000	30.1899	65.4695	30.7867	1.4226	33.1827	103.7042
1460.0000	30.1457	139.2182	30.7299	57.2441	33.1249	122.0388
1470.0000	30.1003	70.5149	30.6717	-75.4808	33.0660	21.5394
1480.0000	30.0537	-171.6240	30.6123	38.9035	33.0059	82.2776
1490.0000	30.0061	98.0886	30.5517	-90.0298	32.9449	-97.4070
1500.0000	29.9574	-31.2836	30.4900	58.0183	32.8828	67.3931
1510.0000	29.9078	-62.0795	30.4273	20.9157	32.8198	-51.9146
1520.0000	29.8573	68.9344	30.3636	106.2697	32.7560	108.3851
1530.0000	29.8060	80.5095	30.2991	108.0237	32.6913	100.4336
1540.0000	29.7539	41.2915	30.2336	41.9255	32.6258	-159.6576
1550.0000	29.7012	72.4223	30.1674	79.4363	32.5597	-52.2531
1560.0000	29.6478	59.6495	30.1005	40.8722	32.4928	158.7343
1570.0000	29.5939	-142.0639	30.0329	106.8843	32.4253	28.4377
1580.0000	29.5394	-70.6041	29.9647	111.1567	32.3572	7.3064
1590.0000	29.4845	104.3765	29.8959	65.5884	32.2886	144.2365
1600.0000	29.4291	-12.9872	29.8266	102.0777	32.2194	-154.3483
1610.0000	29.3734	-12.4071	29.7567	93.6192	32.1498	161.1858
1620.0000	29.3172	105.1778	29.6864	-0.5764	32.0796	98.7961
1630.0000	29.2608	-41.5324	29.6158	74.3330	32.0091	123.2011
1640.0000	29.2041	-69.1003	29.5447	57.4955	31.9382	104.0214
1650.0000	29.1472	81.2145	29.4733	149.0035	31.8669	177.1752
1660.0000	29.0901	-118.2568	29.4015	-39.8640	31.7952	-12.3409
1670.0000	29.0328	-126.3580	29.3295	-115.8014	31.7233	-152.9707
1680.0000	28.9754	77.8663	29.2573	101.7105	31.6510	122.8066
1690.0000	28.9178	-83.7202	29.1848	-172.5538	31.5785	150.1656
1700.0000	28.8602	-21.7814	29.1121	-168.8434	31.5057	144.2387
1710.0000	28.8025	149.5320	29.0393	105.0786	31.4328	109.9065
1720.0000	28.7447	58.4201	28.9663	-37.9361	31.3596	148.8068
1730.0000	28.6870	70.4487	28.8932	52.7577	31.2862	165.9254
1740.0000	28.6292	66.9207	28.8200	-32.2695	31.2127	137.7819
1750.0000	28.5715	2.6622	28.7467	106.5145	31.1390	80.1036
1760.0000	28.5138	68.3060	28.6733	-137.0518	31.0651	121.2760
1770.0000	28.4562	73.4998	28.5999	-73.6912	30.9912	122.3125
1780.0000	28.3987	67.3075	28.5265	144.0594	30.9171	89.9446
1790.0000	28.3412	-36.1379	28.4530	83.1790	30.8430	144.3792
1800.0000	28.2839	65.5105	28.3796	107.0095	30.7688	-117.8080
1810.0000	28.2267	69.3310	28.3061	114.0210	30.6945	-114.5598
1820.0000	28.1696	64.1455	28.2327	93.5020	30.6202	145.1894
1830.0000	28.1127	-108.5507	28.1594	-0.7861	30.5458	98.4041
1840.0000	28.0559	65.2703	28.0861	87.9206	30.4714	129.0943
1850.0000	27.9993	70.2850	28.0129	94.3211	30.3970	133.9833
1860.0000	27.9429	68.6676	27.9398	87.5495	30.3225	121.5525
1870.0000	27.8867	43.6278	27.8667	-11.4925	30.2481	39.0093
1880.0000	27.8306	77.1169	27.7938	93.4245	30.1737	123.3895
1890.0000	27.7748	-142.1041	27.7209	118.0161	30.0993	137.2908
1900.0000	27.7192	-61.6928	27.6482	121.7655	30.0249	135.5017
1910.0000	27.6638	160.0258	27.5756	96.9241	29.9506	118.3704
1920.0000	27.6086	70.0448	27.5032	60.4912	29.8763	-97.4343
1930.0000	27.5537	-92.8867	27.4309	97.9231	29.8020	112.5721
1940.0000	27.4990	60.2500	27.3587	130.5817	29.7279	127.0844
1950.0000	27.4446	65.3198	27.2867	135.2431	29.6537	125.6010
1960.0000	27.3904	52.5728	27.2149	102.3765	29.5797	106.2222
1970.0000	27.3364	156.3851	27.1433	80.4887	29.5057	175.1921
1980.0000	27.2828	67.8622	27.0718	115.1821	29.4318	108.6404
1990.0000	27.2293	77.1666	27.0005	-91.4980	29.3580	128.5181
2000.0000	27.1762	125.0114	26.9294	33.1248	29.2843	132.0721
