% Generated by make_fake_data.py via real TMM forward calculation
% nm	Psi	Delta	Err(Psi)	Err(Delta)
% AOI = 65.000
1350.000	30.5418	155.2740	0.020	0.100
1360.000	30.5156	63.3962	0.020	0.100
1370.000	30.4870	101.7764	0.020	0.100
1380.000	30.4563	3.1114	0.020	0.100
1390.000	30.4235	-3.5044	0.020	0.100
1400.000	30.3888	77.2431	0.020	0.100
1410.000	30.3522	50.1781	0.020	0.100
1420.000	30.3140	124.3068	0.020	0.100
1430.000	30.2741	63.6150	0.020	0.100
1440.000	30.2327	137.6548	0.020	0.100
1450.000	30.1899	65.4695	0.020	0.100
1460.000	30.1457	139.2182	0.020	0.100
1470.000	30.1003	70.5149	0.020	0.100
1480.000	30.0537	-171.6240	0.020	0.100
1490.000	30.0061	98.0886	0.020	0.100
1500.000	29.9574	-31.2836	0.020	0.100
1510.000	29.9078	-62.0795	0.020	0.100
1520.000	29.8573	68.9344	0.020	0.100
1530.000	29.8060	80.5095	0.020	0.100
1540.000	29.7539	41.2915	0.020	0.100
1550.000	29.7012	72.4223	0.020	0.100
1560.000	29.6478	59.6495	0.020	0.100
1570.000	29.5939	-142.0639	0.020	0.100
1580.000	29.5394	-70.6041	0.020	0.100
1590.000	29.4845	104.3765	0.020	0.100
1600.000	29.4291	-12.9872	0.020	0.100
1610.000	29.3734	-12.4071	0.020	0.100
1620.000	29.3172	105.1778	0.020	0.100
1630.000	29.2608	-41.5324	0.020	0.100
1640.000	29.2041	-69.1003	0.020	0.100
1650.000	29.1472	81.2145	0.020	0.100
1660.000	29.0901	-118.2568	0.020	0.100
1670.000	29.0328	-126.3580	0.020	0.100
1680.000	28.9754	77.8663	0.020	0.100
1690.000	28.9178	-83.7202	0.020	0.100
1700.000	28.8602	-21.7814	0.020	0.100
1710.000	28.8025	149.5320	0.020	0.100
1720.000	28.7447	58.4201	0.020	0.100
1730.000	28.6870	70.4487	0.020	0.100
1740.000	28.6292	66.9207	0.020	0.100
1750.000	28.5715	2.6622	0.020	0.100
1760.000	28.5138	68.3060	0.020	0.100
1770.000	28.4562	73.4998	0.020	0.100
1780.000	28.3987	67.3075	0.020	0.100
1790.000	28.3412	-36.1379	0.020	0.100
1800.000	28.2839	65.5105	0.020	0.100
1810.000	28.2267	69.3310	0.020	0.100
1820.000	28.1696	64.1455	0.020	0.100
1830.000	28.1127	-108.5507	0.020	0.100
1840.000	28.0559	65.2703	0.020	0.100
1850.000	27.9993	70.2850	0.020	0.100
1860.000	27.9429	68.6676	0.020	0.100
1870.000	27.8867	43.6278	0.020	0.100
1880.000	27.8306	77.1169	0.020	0.100
1890.000	27.7748	-142.1041	0.020	0.100
1900.000	27.7192	-61.6928	0.020	0.100
1910.000	27.6638	160.0258	0.020	0.100
1920.000	27.6086	70.0448	0.020	0.100
1930.000	27.5537	-92.8867	0.020	0.100
1940.000	27.4990	60.2500	0.020	0.100
1950.000	27.4446	65.3198	0.020	0.100
1960.000	27.3904	52.5728	0.020	0.100
1970.000	27.3364	156.3851	0.020	0.100
1980.000	27.2828	67.8622	0.020	0.100
1990.000	27.2293	77.1666	0.020	0.100
2000.000	27.1762	125.0114	0.020	0.100
% AOI = 70.000
300.000	37.2220	88.2308	0.020	0.100
310.000	32.4811	72.4849	0.020	0.100
320.000	28.1421	48.7251	0.020	0.100
330.000	25.2230	17.8860	0.020	0.100
340.000	25.1136	-14.8756	0.020	0.100
350.000	27.6624	-42.2931	0.020	0.100
360.000	31.7251	-62.7623	0.020	0.100
370.000	35.3724	-78.4964	0.020	0.100
380.000	38.0665	-87.3706	0.020	0.100
390.000	41.6295	-89.5208	0.020	0.100
400.000	47.3229	-86.4096	0.020	0.100
410.000	56.3171	-77.3015	0.020	0.100
420.000	68.9723	-55.8556	0.020	0.100
430.000	77.3574	9.8817	0.020	0.100
440.000	68.1091	66.4312	0.020	0.100
450.000	57.1227	84.0552	0.020	0.100
460.000	49.1571	91.7485	0.020	0.100
470.000	43.5389	95.4246	0.020	0.100
480.000	39.3760	96.8118	0.020	0.100
490.000	36.0786	96.6707	0.020	0.100
500.000	33.2943	95.4151	0.020	0.100
510.000	30.8153	93.2916	0.020	0.100
520.000	28.5184	90.4482	0.020	0.100
530.000	26.3327	86.9684	0.020	0.100
540.000	24.2202	82.8863	0.020	0.100
550.000	22.1652	78.1927	0.020	0.100
560.000	20.1696	72.8384	0.020	0.100
570.000	18.2486	66.7308	0.020	0.100
580.000	16.4300	59.7351	0.020	0.100
590.000	14.7536	51.6775	0.020	0.100
600.000	13.2711	42.3754	0.020	0.100
610.000	12.0440	31.7013	0.020	0.100
620.000	11.1373	19.7096	0.020	0.100
630.000	10.6043	6.7758	0.020	0.100
640.000	10.4654	-6.3928	0.020	0.100
650.000	10.6957	-18.9685	0.020	0.100
660.000	11.2319	-30.3266	0.020	0.100
670.000	11.9950	-40.1987	0.020	0.100
680.000	12.9108	-48.6083	0.020	0.100
690.000	13.9197	-55.7283	0.020	0.100
700.000	14.9783	-61.7688	0.020	0.100
710.000	16.0564	-66.9263	0.020	0.100
720.000	17.1340	-71.3652	0.020	0.100
730.000	18.1986	-75.2170	0.020	0.100
740.000	19.2424	-78.5839	0.020	0.100
750.000	20.2615	-81.5463	0.020	0.100
760.000	21.2543	-84.1669	0.020	0.100
770.000	22.2207	-86.4949	0.020	0.100
780.000	23.1621	-88.5700	0.020	0.100
790.000	24.0802	-90.4237	0.020	0.100
800.000	24.9777	-92.0822	0.020	0.100
810.000	25.8573	-93.5667	0.020	0.100
820.000	26.7221	-94.8952	0.020	0.100
830.000	27.5753	-96.0827	0.020	0.100
840.000	28.4201	-97.1420	0.020	0.100
850.000	29.2599	-98.0841	0.020	0.100
860.000	30.0978	-98.9185	0.020	0.100
870.000	30.9372	-99.6536	0.020	0.100
880.000	31.7815	-100.2968	0.020	0.100
890.000	32.6340	-100.8548	0.020	0.100
900.000	33.4980	-101.3335	0.020	0.100
910.000	34.3768	-101.7385	0.020	0.100
920.000	35.2738	-102.0749	0.020	0.100
930.000	36.1924	-102.3474	0.020	0.100
940.000	37.1358	-102.5607	0.020	0.100
950.000	38.1074	-102.7189	0.020	0.100
960.000	39.1103	-102.8264	0.020	0.100
970.000	40.1479	-102.8867	0.020	0.100
980.000	41.2235	-102.9014	0.020	0.100
990.000	42.3400	-102.8617	0.020	0.100
1000.000	43.5006	-102.8729	0.020	0.100
1010.000	44.7072	-102.6639	0.020	0.100
1020.000	45.9548	-104.1650	0.020	0.100
1030.000	47.2005	-105.2261	0.020	0.100
1040.000	48.2794	-94.6282	0.020	0.100
1050.000	48.7587	-84.7082	0.020	0.100
1060.000	48.1575	-126.3672	0.020	0.100
1070.000	46.2349	-132.6629	0.020	0.100
1080.000	43.8060	-29.1138	0.020	0.100
1090.000	41.3638	173.4268	0.020	0.100
1100.000	39.5321	136.4803	0.020	0.100
1110.000	37.7154	-44.9637	0.020	0.100
1120.000	36.2814	-174.8133	0.020	0.100
1130.000	34.8155	-98.7161	0.020	0.100
1140.000	33.7877	-75.9597	0.020	0.100
1150.000	33.1150	-75.4236	0.020	0.100
1160.000	32.3589	-92.5903	0.020	0.100
1170.000	31.8988	-129.2084	0.020	0.100
1180.000	31.6608	169.9448	0.020	0.100
1190.000	31.4194	105.4579	0.020	0.100
1200.000	31.4416	62.0494	0.020	0.100
1210.000	31.4586	51.6131	0.020	0.100
1220.000	31.4706	79.1595	0.020	0.100
1230.000	31.4777	153.0922	0.020	0.100
1240.000	31.4803	-81.3671	0.020	0.100
1250.000	31.4785	84.6533	0.020	0.100
1260.000	31.4726	-17.7882	0.020	0.100
1270.000	31.4627	-50.2614	0.020	0.100
1280.000	31.4489	-1.8993	0.020	0.100
1290.000	31.4316	119.2546	0.020	0.100
1300.000	31.4108	16.5510	0.020	0.100
1310.000	31.3867	2.0935	0.020	0.100
1320.000	31.3596	78.6391	0.020	0.100
1330.000	31.3294	-54.9210	0.020	0.100
1340.000	31.2965	-87.3602	0.020	0.100
1350.000	31.2609	29.6900	0.020	0.100
1360.000	31.2228	-112.4872	0.020	0.100
1370.000	31.1823	-86.3316	0.020	0.100
1380.000	31.1396	76.5801	0.020	0.100
1390.000	31.0947	50.9369	0.020	0.100
1400.000	31.0478	119.6556	0.020	0.100
1410.000	30.9990	68.4225	0.020	0.100
1420.000	30.9484	112.0140	0.020	0.100
1430.000	30.8960	50.4295	0.020	0.100
1440.000	30.8421	84.2518	0.020	0.100
1450.000	30.7867	1.4226	0.020	0.100
1460.000	30.7299	57.2441	0.020	0.100
1470.000	30.6717	-75.4808	0.020	0.100
1480.000	30.6123	38.9035	0.020	0.100
1490.000	30.5517	-90.0298	0.020	0.100
1500.000	30.4900	58.0183	0.020	0.100
1510.000	30.4273	20.9157	0.020	0.100
1520.000	30.3636	106.2697	0.020	0.100
1530.000	30.2991	108.0237	0.020	0.100
1540.000	30.2336	41.9255	0.020	0.100
1550.000	30.1674	79.4363	0.020	0.100
1560.000	30.1005	40.8722	0.020	0.100
1570.000	30.0329	106.8843	0.020	0.100
1580.000	29.9647	111.1567	0.020	0.100
1590.000	29.8959	65.5884	0.020	0.100
1600.000	29.8266	102.0777	0.020	0.100
1610.000	29.7567	93.6192	0.020	0.100
1620.000	29.6864	-0.5764	0.020	0.100
1630.000	29.6158	74.3330	0.020	0.100
1640.000	29.5447	57.4955	0.020	0.100
1650.000	29.4733	149.0035	0.020	0.100
1660.000	29.4015	-39.8640	0.020	0.100
1670.000	29.3295	-115.8014	0.020	0.100
1680.000	29.2573	101.7105	0.020	0.100
1690.000	29.1848	-172.5538	0.020	0.100
1700.000	29.1121	-168.8434	0.020	0.100
1710.000	29.0393	105.0786	0.020	0.100
1720.000	28.9663	-37.9361	0.020	0.100
1730.000	28.8932	52.7577	0.020	0.100
1740.000	28.8200	-32.2695	0.020	0.100
1750.000	28.7467	106.5145	0.020	0.100
1760.000	28.6733	-137.0518	0.020	0.100
1770.000	28.5999	-73.6912	0.020	0.100
1780.000	28.5265	144.0594	0.020	0.100
1790.000	28.4530	83.1790	0.020	0.100
1800.000	28.3796	107.0095	0.020	0.100
1810.000	28.3061	114.0210	0.020	0.100
1820.000	28.2327	93.5020	0.020	0.100
1830.000	28.1594	-0.7861	0.020	0.100
1840.000	28.0861	87.9206	0.020	0.100
1850.000	28.0129	94.3211	0.020	0.100
1860.000	27.9398	87.5495	0.020	0.100
1870.000	27.8667	-11.4925	0.020	0.100
1880.000	27.7938	93.4245	0.020	0.100
1890.000	27.7209	118.0161	0.020	0.100
1900.000	27.6482	121.7655	0.020	0.100
1910.000	27.5756	96.9241	0.020	0.100
1920.000	27.5032	60.4912	0.020	0.100
1930.000	27.4309	97.9231	0.020	0.100
1940.000	27.3587	130.5817	0.020	0.100
1950.000	27.2867	135.2431	0.020	0.100
1960.000	27.2149	102.3765	0.020	0.100
1970.000	27.1433	80.4887	0.020	0.100
1980.000	27.0718	115.1821	0.020	0.100
1990.000	27.0005	-91.4980	0.020	0.100
2000.000	26.9294	33.1248	0.020	0.100
% AOI = 75.000
300.000	35.6281	101.5123	0.020	0.100
310.000	29.0223	81.8034	0.020	0.100
320.000	21.6943	48.6658	0.020	0.100
330.000	18.0154	-3.0519	0.020	0.100
340.000	21.6550	-50.1956	0.020	0.100
350.000	27.7767	-77.3168	0.020	0.100
360.000	33.5228	-93.2768	0.020	0.100
370.000	37.8648	-103.9968	0.020	0.100
380.000	41.2705	-108.4434	0.020	0.100
390.000	46.0374	-107.0183	0.020	0.100
400.000	54.2540	-100.9218	0.020	0.100
410.000	68.1816	-89.9039	0.020	0.100
420.000	86.8281	-35.1947	0.020	0.100
430.000	72.5213	94.6244	0.020	0.100
440.000	58.9521	105.3947	0.020	0.100
450.000	50.3771	111.2417	0.020	0.100
460.000	44.7899	114.5311	0.020	0.100
470.000	40.8118	116.0838	0.020	0.100
480.000	37.6854	116.4015	0.020	0.100
490.000	34.9998	115.8188	0.020	0.100
500.000	32.5241	114.5632	0.020	0.100
510.000	30.1239	112.7928	0.020	0.100
520.000	27.7180	110.6179	0.020	0.100
530.000	25.2597	108.1173	0.020	0.100
540.000	22.7248	105.3441	0.020	0.100
550.000	20.1058	102.3273	0.020	0.100
560.000	17.4093	99.0686	0.020	0.100
570.000	14.6516	95.5252	0.020	0.100
580.000	11.8583	91.5717	0.020	0.100
590.000	9.0613	86.8835	0.020	0.100
600.000	6.3022	80.5388	0.020	0.100
610.000	3.6523	68.9737	0.020	0.100
620.000	1.4919	26.7518	0.020	0.100
630.000	2.2579	-60.0992	0.020	0.100
640.000	4.5064	-80.8057	0.020	0.100
650.000	6.7830	-88.7524	0.020	0.100
660.000	8.9621	-93.5781	0.020	0.100
670.000	11.0197	-97.1429	0.020	0.100
680.000	12.9506	-100.0374	0.020	0.100
690.000	14.7568	-102.5072	0.020	0.100
700.000	16.4433	-104.6731	0.020	0.100
710.000	18.0170	-106.6029	0.020	0.100
720.000	19.4864	-108.3383	0.020	0.100
730.000	20.8602	-109.9073	0.020	0.100
740.000	22.1472	-111.3297	0.020	0.100
750.000	23.3563	-112.6206	0.020	0.100
760.000	24.4959	-113.7921	0.020	0.100
770.000	25.5741	-114.8538	0.020	0.100
780.000	26.5986	-115.8142	0.020	0.100
790.000	27.5765	-116.6806	0.020	0.100
800.000	28.5147	-117.4595	0.020	0.100
810.000	29.4194	-118.1567	0.020	0.100
820.000	30.2965	-118.7776	0.020	0.100
830.000	31.1517	-119.3272	0.020	0.100
840.000	31.9901	-119.8100	0.020	0.100
850.000	32.8167	-120.2305	0.020	0.100
860.000	33.6362	-120.5929	0.020	0.100
870.000	34.4529	-120.9011	0.020	0.100
880.000	35.2714	-121.1592	0.020	0.100
890.000	36.0957	-121.3712	0.020	0.100
900.000	36.9298	-121.5409	0.020	0.100
910.000	37.7778	-121.6726	0.020	0.100
920.000	38.6432	-121.7704	0.020	0.100
930.000	39.5301	-121.8388	0.020	0.100
940.000	40.4419	-121.8825	0.020	0.100
950.000	41.3822	-121.9065	0.020	0.100
960.000	42.3542	-121.9162	0.020	0.100
970.000	43.3615	-121.9171	0.020	0.100
980.000	44.4070	-121.9163	0.020	0.100
990.000	45.4935	-121.9273	0.020	0.100
1000.000	46.6238	-121.8874	0.020	0.100
1010.000	47.7990	-121.7150	0.020	0.100
1020.000	49.0144	-121.7342	0.020	0.100
1030.000	50.2300	-121.8906	0.020	0.100
1040.000	51.2948	-115.5988	0.020	0.100
1050.000	51.8074	-107.3801	0.020	0.100
1060.000	51.2998	-149.1644	0.020	0.100
1070.000	49.4888	-67.8547	0.020	0.100
1080.000	47.1038	-129.4518	0.020	0.100
1090.000	44.6288	-106.1876	0.020	0.100
1100.000	42.7240	-134.4484	0.020	0.100
1110.000	40.8072	71.2987	0.020	0.100
1120.000	39.2723	-155.1903	0.020	0.100
1130.000	37.6942	-124.2829	0.020	0.100
1140.000	36.5755	-123.2470	0.020	0.100
1150.000	35.8348	-146.9893	0.020	0.100
1160.000	35.0063	165.1373	0.020	0.100
1170.000	34.4959	69.2419	0.020	0.100
1180.000	34.2253	-51.2976	0.020	0.100
1190.000	33.9529	-126.1037	0.020	0.100
1200.000	33.9638	-176.8305	0.020	0.100
1210.000	33.9700	148.0212	0.020	0.100
1220.000	33.9718	139.3654	0.020	0.100
1230.000	33.9695	163.7930	0.020	0.100
1240.000	33.9631	-131.3561	0.020	0.100
1250.000	33.9529	48.3471	0.020	0.100
1260.000	33.9391	-129.6165	0.020	0.100
1270.000	33.9219	174.6355	0.020	0.100
1280.000	33.9013	-173.8645	0.020	0.100
1290.000	33.8777	-58.1129	0.020	0.100
1300.000	33.8510	152.5663	0.020	0.100
1310.000	33.8216	121.3187	0.020	0.100
1320.000	33.7895	161.1615	0.020	0.100
1330.000	33.7548	19.6067	0.020	0.100
1340.000	33.7177	-63.8450	0.020	0.100
1350.000	33.6784	50.5568	0.020	0.100
1360.000	33.6368	-162.5265	0.020	0.100
1370.000	33.5933	-171.0763	0.020	0.100
1380.000	33.5477	36.0364	0.020	0.100
1390.000	33.5004	-82.4455	0.020	0.100
1400.000	33.4512	57.6383	0.020	0.100
1410.000	33.4005	-128.7698	0.020	0.100
1420.000	33.3482	-27.0960	0.020	0.100
1430.000	33.2944	153.7986	0.020	0.100
1440.000	33.2392	175.9535	0.020	0.100
1450.000	33.1827	103.7042	0.020	0.100
1460.000	33.1249	122.0388	0.020	0.100
1470.000	33.0660	21.5394	0.020	0.100
1480.000	33.0059	82.2776	0.020	0.100
1490.000	32.9449	-97.4070	0.020	0.100
1500.000	32.8828	67.3931	0.020	0.100
1510.000	32.8198	-51.9146	0.020	0.100
1520.000	32.7560	108.3851	0.020	0.100
1530.000	32.6913	100.4336	0.020	0.100
1540.000	32.6258	-159.6576	0.020	0.100
1550.000	32.5597	-52.2531	0.020	0.100
1560.000	32.4928	158.7343	0.020	0.100
1570.000	32.4253	28.4377	0.020	0.100
1580.000	32.3572	7.3064	0.020	0.100
1590.000	32.2886	144.2365	0.020	0.100
1600.000	32.2194	-154.3483	0.020	0.100
1610.000	32.1498	161.1858	0.020	0.100
1620.000	32.0796	98.7961	0.020	0.100
1630.000	32.0091	123.2011	0.020	0.100
1640.000	31.9382	104.0214	0.020	0.100
1650.000	31.8669	177.1752	0.020	0.100
1660.000	31.7952	-12.3409	0.020	0.100
1670.000	31.7233	-152.9707	0.020	0.100
1680.000	31.6510	122.8066	0.020	0.100
1690.000	31.5785	150.1656	0.020	0.100
1700.000	31.5057	144.2387	0.020	0.100
1710.000	31.4328	109.9065	0.020	0.100
1720.000	31.3596	148.8068	0.020	0.100
1730.000	31.2862	165.9254	0.020	0.100
1740.000	31.2127	137.7819	0.020	0.100
1750.000	31.1390	80.1036	0.020	0.100
1760.000	31.0651	121.2760	0.020	0.100
1770.000	30.9912	122.3125	0.020	0.100
1780.000	30.9171	89.9446	0.020	0.100
1790.000	30.8430	144.3792	0.020	0.100
1800.000	30.7688	-117.8080	0.020	0.100
1810.000	30.6945	-114.5598	0.020	0.100
1820.000	30.6202	145.1894	0.020	0.100
1830.000	30.5458	98.4041	0.020	0.100
1840.000	30.4714	129.0943	0.020	0.100
1850.000	30.3970	133.9833	0.020	0.100
1860.000	30.3225	121.5525	0.020	0.100
1870.000	30.2481	39.0093	0.020	0.100
1880.000	30.1737	123.3895	0.020	0.100
1890.000	30.0993	137.2908	0.020	0.100
1900.000	30.0249	135.5017	0.020	0.100
1910.000	29.9506	118.3704	0.020	0.100
1920.000	29.8763	-97.4343	0.020	0.100
1930.000	29.8020	112.5721	0.020	0.100
1940.000	29.7279	127.0844	0.020	0.100
1950.000	29.6537	125.6010	0.020	0.100
1960.000	29.5797	106.2222	0.020	0.100
1970.000	29.5057	175.1921	0.020	0.100
1980.000	29.4318	108.6404	0.020	0.100
1990.000	29.3580	128.5181	0.020	0.100
2000.000	29.2843	132.0721	0.020	0.100
