% Generated by make_fake_data.py via real TMM forward calculation
% nm	Psi	Delta	Err(Psi)	Err(Delta)
% AOI = 65.000
1860.000	44.6567	18.2148	0.020	0.100
1870.000	44.6540	18.2205	0.020	0.100
1880.000	44.6513	18.2340	0.020	0.100
1890.000	44.6486	18.2412	0.020	0.100
1900.000	44.6458	18.2502	0.020	0.100
1910.000	44.6431	18.3475	0.020	0.100
1920.000	44.6403	18.3945	0.020	0.100
1930.000	44.6374	18.2913	0.020	0.100
1940.000	44.6345	18.4279	0.020	0.100
1950.000	44.6316	18.3290	0.020	0.100
1960.000	44.6287	18.4648	0.020	0.100
1970.000	44.6258	18.3229	0.020	0.100
1980.000	44.6228	18.3713	0.020	0.100
1990.000	44.6197	18.4679	0.020	0.100
2000.000	44.6167	18.5128	0.020	0.100
% AOI = 70.000
300.000	26.6766	87.8026	0.020	0.100
310.000	26.3098	87.0220	0.020	0.100
320.000	25.9518	86.5357	0.020	0.100
330.000	25.6346	87.3689	0.020	0.100
340.000	25.4450	88.1201	0.020	0.100
350.000	25.6358	89.9855	0.020	0.100
360.000	26.1584	90.1399	0.020	0.100
370.000	26.5593	89.5745	0.020	0.100
380.000	26.7961	87.6621	0.020	0.100
390.000	26.9338	89.0056	0.020	0.100
400.000	27.0144	85.5983	0.020	0.100
410.000	27.0921	85.7946	0.020	0.100
420.000	27.1656	89.3221	0.020	0.100
430.000	27.2678	85.8875	0.020	0.100
440.000	27.3630	85.7900	0.020	0.100
450.000	27.4978	92.2244	0.020	0.100
460.000	27.7582	88.3531	0.020	0.100
470.000	28.2455	93.5148	0.020	0.100
480.000	29.2270	99.4548	0.020	0.100
490.000	31.0721	101.7185	0.020	0.100
500.000	33.6078	94.3878	0.020	0.100
510.000	35.9491	95.4101	0.020	0.100
520.000	37.6189	93.0904	0.020	0.100
530.000	38.7807	90.2114	0.020	0.100
540.000	39.6386	88.9072	0.020	0.100
550.000	40.2948	84.4486	0.020	0.100
560.000	40.8420	80.9446	0.020	0.100
570.000	41.2869	82.7866	0.020	0.100
580.000	41.6601	80.7775	0.020	0.100
590.000	41.9826	78.2245	0.020	0.100
600.000	42.2632	74.3801	0.020	0.100
610.000	42.5061	72.3844	0.020	0.100
620.000	42.7041	71.0701	0.020	0.100
630.000	42.9053	69.3124	0.020	0.100
640.000	43.0729	68.1794	0.020	0.100
650.000	43.2231	68.6601	0.020	0.100
660.000	43.3482	65.6063	0.020	0.100
670.000	43.4608	65.0891	0.020	0.100
680.000	43.5594	64.4840	0.020	0.100
690.000	43.6454	62.3953	0.020	0.100
700.000	43.7172	60.8961	0.020	0.100
710.000	43.7727	59.8192	0.020	0.100
720.000	43.8137	60.1262	0.020	0.100
730.000	43.8676	58.7398	0.020	0.100
740.000	43.8927	57.9141	0.020	0.100
750.000	43.9364	57.2394	0.020	0.100
760.000	43.9685	55.4145	0.020	0.100
770.000	43.9873	55.4802	0.020	0.100
780.000	44.0232	54.5958	0.020	0.100
790.000	44.0502	52.9481	0.020	0.100
800.000	44.0659	52.6591	0.020	0.100
810.000	44.0870	51.7284	0.020	0.100
820.000	44.1243	51.6073	0.020	0.100
830.000	44.1475	50.1579	0.020	0.100
840.000	44.1604	49.8512	0.020	0.100
850.000	44.1657	49.6006	0.020	0.100
860.000	44.1913	48.1952	0.020	0.100
870.000	44.2061	48.3446	0.020	0.100
880.000	44.2177	47.3860	0.020	0.100
890.000	44.2291	46.5223	0.020	0.100
900.000	44.2477	45.9449	0.020	0.100
910.000	44.2649	45.9150	0.020	0.100
920.000	44.2722	45.0367	0.020	0.100
930.000	44.2872	44.9742	0.020	0.100
940.000	44.2974	44.4500	0.020	0.100
950.000	44.3087	43.4150	0.020	0.100
960.000	44.3246	43.4121	0.020	0.100
970.000	44.3352	42.7055	0.020	0.100
980.000	44.3425	42.0663	0.020	0.100
990.000	44.3510	41.5528	0.020	0.100
1000.000	44.3595	41.2912	0.020	0.100
1010.000	44.3663	40.7424	0.020	0.100
1020.000	44.3762	40.2666	0.020	0.100
1030.000	44.3815	40.2942	0.020	0.100
1040.000	44.3948	39.7062	0.020	0.100
1050.000	44.4034	39.3842	0.020	0.100
1060.000	44.4353	38.9778	0.020	0.100
1070.000	44.4412	38.2204	0.020	0.100
1080.000	44.4392	37.9776	0.020	0.100
1090.000	44.4541	37.5602	0.020	0.100
1100.000	44.4658	37.2453	0.020	0.100
1110.000	44.4738	36.8043	0.020	0.100
1120.000	44.4773	36.8685	0.020	0.100
1130.000	44.4895	36.4919	0.020	0.100
1140.000	44.5034	35.8171	0.020	0.100
1150.000	44.5037	35.8479	0.020	0.100
1160.000	44.5058	35.4393	0.020	0.100
1170.000	44.4992	34.9331	0.020	0.100
1180.000	44.5152	34.5753	0.020	0.100
1190.000	44.5301	34.2433	0.020	0.100
1200.000	44.5338	34.2722	0.020	0.100
1210.000	44.5360	33.9639	0.020	0.100
1220.000	44.5408	33.7100	0.020	0.100
1230.000	44.5478	33.1368	0.020	0.100
1240.000	44.5468	33.1357	0.020	0.100
1250.000	44.5516	32.8223	0.020	0.100
1260.000	44.5498	32.2894	0.020	0.100
1270.000	44.5685	32.2979	0.020	0.100
1280.000	44.5675	32.0327	0.020	0.100
1290.000	44.5705	31.7757	0.020	0.100
1300.000	44.5773	31.2637	0.020	0.100
1310.000	44.5758	31.2954	0.020	0.100
1320.000	44.5821	31.0854	0.020	0.100
1330.000	44.5816	30.7883	0.020	0.100
1340.000	44.5862	30.3230	0.020	0.100
1350.000	44.5868	30.3277	0.020	0.100
1360.000	44.5968	30.0956	0.020	0.100
1370.000	44.5913	29.8977	0.020	0.100
1380.000	44.5942	29.5207	0.020	0.100
1390.000	44.5931	29.3575	0.020	0.100
1400.000	44.5989	29.0138	0.020	0.100
1410.000	44.5989	28.8505	0.020	0.100
1420.000	44.5893	28.6056	0.020	0.100
1430.000	44.5938	28.4279	0.020	0.100
1440.000	44.5990	28.3287	0.020	0.100
1450.000	44.6042	28.1718	0.020	0.100
1460.000	44.6125	27.8663	0.020	0.100
1470.000	44.6119	27.6333	0.020	0.100
1480.000	44.6100	27.5715	0.020	0.100
1490.000	44.6108	27.2200	0.020	0.100
1500.000	44.6220	27.1925	0.020	0.100
1510.000	44.6189	26.9124	0.020	0.100
1520.000	44.6229	26.6666	0.020	0.100
1530.000	44.6176	26.4838	0.020	0.100
1540.000	44.6176	26.3388	0.020	0.100
1550.000	44.6209	26.2555	0.020	0.100
1560.000	44.6251	25.9683	0.020	0.100
1570.000	44.6303	25.9781	0.020	0.100
1580.000	44.6270	25.8628	0.020	0.100
1590.000	44.6267	25.6507	0.020	0.100
1600.000	44.6379	25.4215	0.020	0.100
1610.000	44.6319	25.2883	0.020	0.100
1620.000	44.6399	24.9819	0.020	0.100
1630.000	44.6278	24.9554	0.020	0.100
1640.000	44.6375	24.6874	0.020	0.100
1650.000	44.6347	24.6524	0.020	0.100
1660.000	44.6240	24.5620	0.020	0.100
1670.000	44.6328	24.3225	0.020	0.100
1680.000	44.6322	24.2281	0.020	0.100
1690.000	44.6299	23.9698	0.020	0.100
1700.000	44.6030	23.8352	0.020	0.100
1710.000	44.6002	23.9884	0.020	0.100
1720.000	44.5974	23.8492	0.020	0.100
1730.000	44.5945	24.0116	0.020	0.100
1740.000	44.5916	24.0169	0.020	0.100
1750.000	44.5887	23.9238	0.020	0.100
1760.000	44.5857	23.9211	0.020	0.100
1770.000	44.5826	23.9485	0.020	0.100
1780.000	44.5796	24.0761	0.020	0.100
1790.000	44.5764	24.0935	0.020	0.100
1800.000	44.5733	23.9298	0.020	0.100
1810.000	44.5701	24.1298	0.020	0.100
1820.000	44.5669	23.9511	0.020	0.100
1830.000	44.5636	24.1623	0.020	0.100
1840.000	44.5603	24.1354	0.020	0.100
1850.000	44.5569	24.0153	0.020	0.100
1860.000	44.5535	24.0013	0.020	0.100
1870.000	44.5501	24.0111	0.020	0.100
1880.000	44.5466	24.0394	0.020	0.100
1890.000	44.5431	24.1093	0.020	0.100
1900.000	44.5395	24.2824	0.020	0.100
1910.000	44.5359	24.1556	0.020	0.100
1920.000	44.5323	24.1208	0.020	0.100
1930.000	44.5286	24.3116	0.020	0.100
1940.000	44.5249	24.1532	0.020	0.100
1950.000	44.5212	24.1781	0.020	0.100
1960.000	44.5174	24.3945	0.020	0.100
1970.000	44.5136	24.3009	0.020	0.100
1980.000	44.5097	24.1873	0.020	0.100
1990.000	44.5058	24.1718	0.020	0.100
2000.000	44.5019	24.1815	0.020	0.100
% AOI = 75.000
300.000	27.7145	111.7886	0.020	0.100
310.000	27.2990	110.8958	0.020	0.100
320.000	26.9340	111.1661	0.020	0.100
330.000	26.6504	110.0684	0.020	0.100
340.000	26.5301	110.3435	0.020	0.100
350.000	26.8016	113.5578	0.020	0.100
360.000	27.3025	112.0156	0.020	0.100
370.000	27.6215	112.7385	0.020	0.100
380.000	27.7890	110.1172	0.020	0.100
390.000	27.8737	109.9454	0.020	0.100
400.000	27.9274	109.4344	0.020	0.100
410.000	27.9961	108.7388	0.020	0.100
420.000	28.0786	109.5507	0.020	0.100
430.000	28.2101	109.9067	0.020	0.100
440.000	28.3580	109.0976	0.020	0.100
450.000	28.5780	108.5395	0.020	0.100
460.000	28.9549	114.5575	0.020	0.100
470.000	29.5777	110.6039	0.020	0.100
480.000	30.6820	113.2976	0.020	0.100
490.000	32.5111	120.3866	0.020	0.100
500.000	34.8029	113.3670	0.020	0.100
510.000	36.8123	114.9893	0.020	0.100
520.000	38.2179	109.1253	0.020	0.100
530.000	39.1933	107.5227	0.020	0.100
540.000	39.9180	109.4376	0.020	0.100
550.000	40.4774	103.1998	0.020	0.100
560.000	40.9491	104.7522	0.020	0.100
570.000	41.3372	98.5513	0.020	0.100
580.000	41.6663	96.2412	0.020	0.100
590.000	41.9549	94.3624	0.020	0.100
600.000	42.2084	91.9570	0.020	0.100
610.000	42.4307	94.2573	0.020	0.100
620.000	42.6128	90.2883	0.020	0.100
630.000	42.8020	90.7316	0.020	0.100
640.000	42.9603	89.1791	0.020	0.100
650.000	43.1036	85.5507	0.020	0.100
660.000	43.2232	84.0689	0.020	0.100
670.000	43.3316	84.7106	0.020	0.100
680.000	43.4269	80.7323	0.020	0.100
690.000	43.5102	80.1772	0.020	0.100
700.000	43.5796	78.9040	0.020	0.100
710.000	43.6321	77.3337	0.020	0.100
720.000	43.6696	76.4599	0.020	0.100
730.000	43.7224	74.9076	0.020	0.100
740.000	43.7438	74.5411	0.020	0.100
750.000	43.7868	72.9024	0.020	0.100
760.000	43.8173	72.0286	0.020	0.100
770.000	43.8333	72.5229	0.020	0.100
780.000	43.8691	70.1542	0.020	0.100
790.000	43.8948	69.8015	0.020	0.100
800.000	43.9091	69.2687	0.020	0.100
810.000	43.9292	67.7461	0.020	0.100
820.000	43.9684	66.8071	0.020	0.100
830.000	43.9918	66.4028	0.020	0.100
840.000	44.0034	66.3684	0.020	0.100
850.000	44.0062	65.8024	0.020	0.100
860.000	44.0331	65.0470	0.020	0.100
870.000	44.0477	64.2738	0.020	0.100
880.000	44.0586	63.1342	0.020	0.100
890.000	44.0694	61.6788	0.020	0.100
900.000	44.0890	61.9593	0.020	0.100
910.000	44.1072	61.5163	0.020	0.100
920.000	44.1136	60.8511	0.020	0.100
930.000	44.1294	59.4412	0.020	0.100
940.000	44.1395	59.5696	0.020	0.100
950.000	44.1511	58.9621	0.020	0.100
960.000	44.1686	57.9026	0.020	0.100
970.000	44.1794	57.6885	0.020	0.100
980.000	44.1867	57.1519	0.020	0.100
990.000	44.1953	55.8104	0.020	0.100
1000.000	44.2039	55.3906	0.020	0.100
1010.000	44.2108	54.5673	0.020	0.100
1020.000	44.2214	54.2334	0.020	0.100
1030.000	44.2264	53.5830	0.020	0.100
1040.000	44.2415	53.2181	0.020	0.100
1050.000	44.2509	52.5809	0.020	0.100
1060.000	44.2892	52.0759	0.020	0.100
1070.000	44.2954	51.7614	0.020	0.100
1080.000	44.2916	51.0359	0.020	0.100
1090.000	44.3093	51.3335	0.020	0.100
1100.000	44.3230	50.8705	0.020	0.100
1110.000	44.3319	49.7088	0.020	0.100
1120.000	44.3353	49.3929	0.020	0.100
1130.000	44.3497	48.9407	0.020	0.100
1140.000	44.3664	48.8974	0.020	0.100
1150.000	44.3659	48.5602	0.020	0.100
1160.000	44.3676	47.6899	0.020	0.100
1170.000	44.3584	47.4370	0.020	0.100
1180.000	44.3780	46.8595	0.020	0.100
1190.000	44.3961	46.7134	0.020	0.100
1200.000	44.4002	46.0931	0.020	0.100
1210.000	44.4023	45.7850	0.020	0.100
1220.000	44.4077	45.8591	0.020	0.100
1230.000	44.4161	45.1051	0.020	0.100
1240.000	44.4141	44.7484	0.020	0.100
1250.000	44.4196	44.6983	0.020	0.100
1260.000	44.4164	43.9265	0.020	0.100
1270.000	44.4401	44.0509	0.020	0.100
1280.000	44.4381	43.4940	0.020	0.100
1290.000	44.4415	43.0173	0.020	0.100
1300.000	44.4497	42.9324	0.020	0.100
1310.000	44.4473	42.8167	0.020	0.100
1320.000	44.4550	42.4307	0.020	0.100
1330.000	44.4537	41.7174	0.020	0.100
1340.000	44.4592	41.8393	0.020	0.100
1350.000	44.4594	41.4651	0.020	0.100
1360.000	44.4721	41.1649	0.020	0.100
1370.000	44.4644	40.8723	0.020	0.100
1380.000	44.4677	40.3454	0.020	0.100
1390.000	44.4658	39.9659	0.020	0.100
1400.000	44.4730	39.9671	0.020	0.100
1410.000	44.4726	39.5269	0.020	0.100
1420.000	44.4594	39.1755	0.020	0.100
1430.000	44.4648	39.1757	0.020	0.100
1440.000	44.4714	38.7346	0.020	0.100
1450.000	44.4778	38.3244	0.020	0.100
1460.000	44.4884	38.0878	0.020	0.100
1470.000	44.4871	37.8684	0.020	0.100
1480.000	44.4842	37.8782	0.020	0.100
1490.000	44.4849	37.3674	0.020	0.100
1500.000	44.4994	37.0070	0.020	0.100
1510.000	44.4951	37.0764	0.020	0.100
1520.000	44.5000	36.7219	0.020	0.100
1530.000	44.4926	36.3029	0.020	0.100
1540.000	44.4922	36.2851	0.020	0.100
1550.000	44.4962	35.8937	0.020	0.100
1560.000	44.5015	35.9198	0.020	0.100
1570.000	44.5082	35.5590	0.020	0.100
1580.000	44.5036	35.3422	0.020	0.100
1590.000	44.5029	35.1157	0.020	0.100
1600.000	44.5173	34.9573	0.020	0.100
1610.000	44.5092	34.7728	0.020	0.100
1620.000	44.5195	34.4073	0.020	0.100
1630.000	44.5031	34.2512	0.020	0.100
1640.000	44.5158	34.2127	0.020	0.100
1650.000	44.5118	33.9199	0.020	0.100
1660.000	44.4973	33.7253	0.020	0.100
1670.000	44.5087	33.4811	0.020	0.100
1680.000	44.5077	33.4094	0.020	0.100
1690.000	44.5043	32.8307	0.020	0.100
1700.000	44.4682	32.9971	0.020	0.100
1710.000	44.4645	32.7956	0.020	0.100
1720.000	44.4607	33.1005	0.020	0.100
1730.000	44.4569	32.9864	0.020	0.100
1740.000	44.4531	32.9171	0.020	0.100
1750.000	44.4491	32.9144	0.020	0.100
1760.000	44.4452	32.9642	0.020	0.100
1770.000	44.4411	33.1394	0.020	0.100
1780.000	44.4371	33.2340	0.020	0.100
1790.000	44.4329	32.8971	0.020	0.100
1800.000	44.4287	33.2403	0.020	0.100
1810.000	44.4245	32.9350	0.020	0.100
1820.000	44.4202	33.2998	0.020	0.100
1830.000	44.4159	33.2826	0.020	0.100
1840.000	44.4115	33.1241	0.020	0.100
1850.000	44.4070	33.0839	0.020	0.100
1860.000	44.4025	33.1002	0.020	0.100
1870.000	44.3980	33.1815	0.020	0.100
1880.000	44.3934	33.3984	0.020	0.100
1890.000	44.3887	33.4548	0.020	0.100
1900.000	44.3840	33.0556	0.020	0.100
1910.000	44.3792	33.4689	0.020	0.100
1920.000	44.3744	33.0471	0.020	0.100
1930.000	44.3696	33.5491	0.020	0.100
1940.000	44.3647	33.2120	0.020	0.100
1950.000	44.3597	33.1627	0.020	0.100
1960.000	44.3547	33.6632	0.020	0.100
1970.000	44.3496	33.6672	0.020	0.100
1980.000	44.3445	33.6533	0.020	0.100
1990.000	44.3394	33.6840	0.020	0.100
2000.000	44.3341	33.7595	0.020	0.100
